name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
Albert River Park,-27.718355178833,153.214614868164,directory point,"Ramu Street, Eagleby",Eagleby,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,basketball,bbq_wood,waterfront,fishing_pontoon,skate_facilities,picnic_area",10.0,12,EAGLEBY,District,Recreation,1,existing,Recreation and Open Space,9.0,106686.0
Albert Valley Park,-27.7376880645752,153.190734863281,directory point,"13A Albert Valley Drive, Bahrs Scrub",Bahrs Scrub,"playground,basketball,picnic_area",11.0,6,BAHRS SCRUB,Ecologically Sig,Natural Areas,3,existing,Environmental Management and Conservation,5.0,58635.0
Alberta Park,-27.7747211456299,153.187713623047,directory point,"Stanmore Road, Wolffdene",Wolffdene,"bbq_electric,toilets,picnic_area",12.0,4,WOLFFDENE,Corridor,Recreation,3,existing,Recreation and Open Space,3.0,5788.0
Alexander Clark Park,-27.7003211975098,153.189224243164,directory point,"Dewar Drive, Loganholme",Loganholme,"ideal_wedding_location,dog_off-leash_area,playground,toilets,disc_golf,fitness_equipment,wheelchair_toilets,basketball,bike_track,walking_track,bbq_wood,waterfront,fishing_pontoon,picnic_area",13.0,10,LOGANHOLME,Metropolitan,Recreation,1,existing,Recreation and Open Space,3.0,283418.0
Alexander Watt Park,-27.7616577148438,153.189880371094,directory point,"26 Old Mill Road, Bannockburn",Bannockburn,,14.0,4,BANNOCKBURN,Landscape Amenit,Natural Areas,4,existing,Environmental Management and Conservation,4.0,170769.0
Alfred Shailer Park,-27.634352,153.15861,polygon centroid,,,,,3,DAISY HILL,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,3.0,219875.0
Allenby Park,-27.6611576080322,153.143859863281,directory point,"Allenby Drive, Meadowbrook",Meadowbrook,"playground,picnic_area",15.0,6,MEADOWBROOK,Local,Recreation,2,existing,Recreation and Open Space,1.0,4947.0
Andromeda Park,-27.675952,153.17077,polygon centroid,,,,,10,TANAH MERAH,Local,Recreation,4,existing,Recreation and Open Space,3.0,33181.0
Anzac Park (Kingston),-27.6558475494385,153.113983154297,directory point,"Alba Lane, Kingston",Kingston,"toilets,basketball,bbq_wood,picnic_area,volleyball",16.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,6.0,28717.0
Anzac Park (Kingston),-27.655817,153.113964,polygon centroid,,,,,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,6.0,28717.0
Anzac Park (Logan Village),-27.769313,153.103083,polygon centroid,,,,,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,6.0,28717.0
Apex Park (Marsden),-27.6685752868652,153.088394165039,directory point,"Fourth Avenue, Marsden",Marsden,picnic_area,17.0,5,MARSDEN,Local,Recreation,3,existing,Recreation and Open Space,3.0,9575.0
Arbee Park,-27.777449,153.031694,polygon centroid,,,,,9,STOCKLEIGH,Corridor,Recreation,,existing,Rural Farming,3.0,77559.0
Argule Park,-27.6740837097168,153.022247314453,directory point,"Federation Drive, Hillcrest",Hillcrest,"playground,picnic_area",18.0,7,HILLCREST,Local,Other,0,existing,Recreation and Open Space,2.0,33798.0
Arlington Park,-27.6054592132568,153.113098144531,directory point,"Arlington Street, Underwood",Underwood,"playground,basketball",19.0,3,UNDERWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,18978.0
Ashton Park,-27.6528224945068,153.102966308594,directory point,"Ashton Street, Kingston",Kingston,"playground,picnic_area",20.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,4.0,8864.0
Atlantic Park,-27.6654834747314,153.182632446289,directory point,"Atlantic Drive, Loganholme",Loganholme,"bbq_electric,basketball,picnic_area",21.0,10,LOGANHOLME,Local,Recreation,4,future,Loganholme LP - Residential Frame,5.0,4419.0
August Berndt Park,-27.707914352417,153.208053588867,directory point,"5 Endeavour Parade, Eagleby",Eagleby,"playground,basketball",22.0,12,EAGLEBY,Local,Recreation,3,existing,Recreation and Open Space,2.0,6718.0
Augustus Park,-27.6523876190186,153.121353149414,directory point,"Augustus Street, Kingston",Kingston,"playground,basketball,picnic_area",23.0,2,KINGSTON,Local,Recreation,1,existing,Recreation and Open Space,15.0,29779.0
Autumnfield Park,-27.8007354736328,153.108184814453,directory point,"Autumnfield Avenue, Yarrabilba",Yarrabilba,picnic_area,24.0,4,YARRABILBA,Landscape Amenit,Natural Areas,,existing,PDA - Priority Development Area,3.0,66829.0
BUTTUTA PARK,-27.700769,153.108369,polygon centroid,,,,,8,LOGAN RESERVE,Landscape Amenit,Natural Areas,,existing,,3.0,0.0
Ballan Park,-27.6655578613281,153.192626953125,directory point,"Ballan Court, Cornubia",Cornubia,playground,25.0,10,CORNUBIA,Local,Recreation,4,existing,Environmental Management and Conservation,1.0,1149.0
Bangalla Park,-27.6315364837646,153.139556884766,directory point,"Bangalla Drive,Springwood","Bangalla Drive,Springwood","dog_off-leash_area,picnic_area",26.0,1,SPRINGWOOD,Local,Recreation,4,existing,Recreation and Open Space,1.0,3088.0
Barbaralla Park,-27.6265354156494,153.132781982422,directory point,"Barbaralla Drive, Springwood",Springwood,"bbq_electric,playground,toilets,wheelchair_toilets,basketball,skate_facilities,picnic_area",27.0,1,SPRINGWOOD,Local,Recreation,1,existing,Recreation and Open Space,3.0,18916.0
Barber Court Reserve,-27.704740524292,153.155578613281,directory point,"Barber Court, Waterford",Waterford,picnic_area,28.0,4,WATERFORD,,Other,3,existing,Environmental Management and Conservation,1.0,12849.0
Barokee Park,-27.6725158691406,153.171188354492,directory point,"Barokee Drive, Tanah Merah",Tanah Merah,picnic_area,29.0,10,TANAH MERAH,Minor,Recreation,4,existing,Recreation and Open Space,2.0,3517.0
Baroona Park,-27.6035480499268,153.133071899414,directory point,"Brompton Street, Rochedale South",Rochedale South,"dog_off-leash_area,playground,picnic_area",30.0,1,ROCHEDALE SOUTH,Local,Recreation,2,existing,Recreation and Open Space,1.0,10333.0
Baspa Park,-27.7171783447266,153.16423034668,directory point,"Baspa Street, Holmview",Holmview,picnic_area,31.0,6,HOLMVIEW,Local,Recreation,,existing,,1.0,1537.0
Bass Park,-27.627015,153.115563,polygon centroid,,,,,2,WOODRIDGE,Local,Other,4,existing,Recreation and Open Space,2.0,3648.0
Bayes Park,-27.6978244781494,153.112167358398,directory point,"Bayes Road, Logan Reserve",Logan Reserve,"dog_off-leash_area,picnic_area",32.0,8,LOGAN RESERVE,Landscape Amenit,Natural Areas,4,existing,Environmental Management and Conservation,4.0,201378.0
Bedford Park,-27.7049522399902,153.222610473633,directory point,"229 River Hills Road, Eagleby",Eagleby,"bbq_electric,playground,basketball,picnic_area",33.0,12,EAGLEBY,Local,Recreation,3,existing,Recreation and Open Space,2.0,25666.0
Beenleigh Memorial Park,-27.717709,153.200395,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,2,existing,Centre,1.0,1713.0
Beenleigh Town Square,-27.716359,153.201466,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Centre,3.0,4739.0
Bega Park,-27.6648578643799,153.106475830078,directory point,"Bega Road, Kingston",Kingston,"dog_off-leash_area,playground,fitness_equipment,basketball,bbq_wood,picnic_area",34.0,2,KINGSTON,Local,Recreation,1,existing,Recreation and Open Space,4.0,78843.0
Belivah Sport Park,-27.754274,153.185442,polygon centroid,,,,,4,BELIVAH,District,Sport,,existing,,1.0,30601.0
Bellevue Park,-27.7011089324951,153.012542724609,directory point,"Carlton Road, Greenbank",Greenbank,"playground,fitness_equipment,basketball,bbq_wood,picnic_area,volleyball",35.0,11,GREENBANK,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,2.0,50713.0
Belmore Park,-27.59836769104,153.144119262695,directory point,"Underwood Road, Rochedale South",Rochedale South,"playground,picnic_area",36.0,1,ROCHEDALE SOUTH,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,2.0,46934.0
Belyando Park,-27.7199840545654,153.159927368164,directory point,"Belyando Street, Homlview",Homlview,"dog_off-leash_area,picnic_area",37.0,6,HOLMVIEW,Local,Recreation,,existing,,1.0,3943.0
Berrinba Park,-27.6531391143799,153.098739624023,directory point,"Birch Street,Kingston","Birch Street,Kingston","playground,picnic_area",38.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,4.0,2414.0
Berrinba Wetlands Park,-27.6669292449951,153.07844543457,directory point,"Wayne Goss Drive,  Browns Plains", Browns Plains,"bbq_electric,playground,toilets,fitness_equipment,basketball,bike_track,walking_track,picnic_area",39.0,5,BERRINBA,Ecologically Sig,Natural Areas,1,existing,Environmental Management and Conservation,9.0,624955.0
Beta Park,-27.6563396453857,153.106170654297,directory point,"Beta Avenue, Kingston",Kingston,playground,40.0,2,KINGSTON,Local,Recreation,3,existing,Recreation and Open Space,1.0,4088.0
Bethania Shores Park,-27.691986,153.16946,polygon centroid,,,,,6,BETHANIA,Local,Recreation,4,existing,Recreation and Open Space,6.0,42061.0
Big River Country Park,-27.789417,153.119345,polygon centroid,,,,,4,LOGAN VILLAGE,District,Sport,4,existing,Recreation and Open Space,1.0,100067.0
Bill Carmody Park,-27.6384983062744,153.123580932617,directory point,"Paradise Road, Slacks Creek",Slacks Creek,"playground,picnic_area",41.0,3,SLACKS CREEK,Local,Recreation,3,existing,Recreation and Open Space,2.0,2637.0
Bill Kohlmann Park,-27.6080417633057,153.124298095703,directory point,"Tarcoola Street, Rochedale South",Rochedale South,playground,42.0,1,ROCHEDALE SOUTH,Local,Recreation,2,existing,Recreation and Open Space,9.0,20161.0
Bill Norris Oval,-27.7056312561035,153.193756103516,directory point,"39 Boundary Street, Beenleigh",Beenleigh,picnic_area,43.0,12,BEENLEIGH,Metropolitan,Sport,3,existing,Recreation and Open Space,1.0,61400.0
Bishop Street Indoor Recreation,-27.703161,153.209959,polygon centroid,,,,,12,EAGLEBY,District,Sport,4,existing,Recreation and Open Space,1.0,3370.0
Bishop Street Park,-27.7035903930664,153.210250854492,directory point,"1 Bishop Street, Eagleby",Eagleby,"bbq_electric,playground,basketball,tennis_courts,walking_track,picnic_area",44.0,12,EAGLEBY,District,Recreation,1,existing,Recreation and Open Space,4.0,31897.0
Blue-Gum Park,-27.6763191223145,153.111862182617,directory point,"Blue-Gum Drive, Marsden",Marsden,playground,45.0,5,MARSDEN,Local,Recreation,3,existing,Recreation and Open Space,2.0,3010.0
Booiurragun Park,-27.7005748748779,153.206970214844,directory point,"59 Plover Drive, Eagleby",Eagleby,"bbq_electric,picnic_area",46.0,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,2.0,4853.0
Boondarn Park,-27.865282,152.978031,polygon centroid,,,,,9,CEDAR GROVE,District,Sport,4,existing,Recreation and Open Space,2.0,79767.0
Booran Park,-27.6225757598877,153.113220214844,directory point,"Lydia Avenue, Woodridge",Woodridge,"playground,fitness_equipment,basketball,picnic_area",47.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,5.0,19785.0
Boronia Bushland Res,-27.6943664550781,153.026412963867,directory point,"Conlan Street, Boronia Heights",Boronia Heights,"playground,fitness_equipment,bbq_wood,picnic_area",48.0,,,,,,,,,
Boronia Bushland Reserve,-27.6927757263184,153.025024414063,directory point,"Conlan Street, Boronia Heights",Boronia Heights,"playground,toilets,wheelchair_toilets,bike_track,bbq_wood,picnic_area",49.0,8,PARK RIDGE,Landscape Amenit,Natural Areas,3,Investigation,Low Density Residential,25.0,438978.0
Boulevard Park,-27.7100124359131,153.156188964844,directory point,"Woodlands Boulevard, Waterford",Waterford,"bbq_electric,picnic_area",50.0,4,WATERFORD,Local,Recreation,1,existing,Recreation and Open Space,2.0,13383.0
Bowen Park,-27.5910415649414,153.136566162109,directory point,"Bowen Street,Rochedale South","Bowen Street,Rochedale South",playground,51.0,1,ROCHEDALE SOUTH,Minor,Recreation,4,existing,Recreation and Open Space,1.0,1035.0
Brabham Park,-27.6932849884033,153.08171081543,directory point,"Brabham Street, Crestmead",Crestmead,"playground,basketball",52.0,8,CRESTMEAD,Local,Recreation,3,existing,Recreation and Open Space,1.0,11560.0
Bradley Park,-27.7086944580078,153.215042114258,directory point,"8 Lemongrove Street, Eagleby",Eagleby,"basketball,bbq_wood,picnic_area",53.0,12,EAGLEBY,Local,Recreation,3,existing,Recreation and Open Space,1.0,8087.0
Brandon Park,-27.6663818359375,153.099746704102,directory point,"Fairbairn Street, Marsden",Marsden,"dog_off-leash_area,bbq_electric,playground,picnic_area",54.0,5,MARSDEN,Landscape Amenit,Natural Areas,2,existing,Recreation and Open Space,15.0,188936.0
Bronzewing Park,-27.7309951782227,153.163681030273,directory point,"Bronzewing Circuit, Bahrs Scrub",Bahrs Scrub,fitness_equipment,55.0,6,BAHRS SCRUB,Minor,Recreation,,existing,Emerging Community,5.0,20065.0
Brookvale Park,-27.6165180206299,153.107391357422,directory point,"Samba Place, Underwood",Underwood,"bbq_electric,playground,fitness_equipment,basketball,picnic_area",56.0,2,UNDERWOOD,Landscape Amenit,Natural Areas,0,Investigation,Multiple Zones,13.0,128625.0
Brough Place,-27.6432437896729,153.15380859375,directory point,"Cupania Street, Daisy Hill",Daisy Hill,playground,57.0,3,DAISY HILL,Local,Recreation,3,existing,Recreation and Open Space,1.0,1078.0
Brushwood Park,-27.8569946289063,152.979202270508,directory point,"236 Cedar Grove Road, Cedar Grove",Cedar Grove,"bbq_electric,playground,toilets,basketball,skate_facilities,picnic_area",58.0,9,CEDAR GROVE,Landscape Amenit,Natural Areas,0,existing,Environmental Management and Conservation,3.0,102071.0
Burchill Park,-27.681485,153.190873,polygon centroid,,,,,10,LOGANHOLME,District,Sport,4,existing,Recreation and Open Space,1.0,4150.0
Burrinjuck Park,-27.6775188446045,153.09814453125,directory point,"Burrinjuck Street, Marsden",Marsden,"playground,basketball,bbq_wood,picnic_area",59.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,5.0,15512.0
Bushland Park,-27.8447074890137,152.972702026367,directory point,"Bushland Road, Jimboomba",Jimboomba,playground,60.0,,,,,,,,,
Bushlark Park,-27.6829319000244,153.083145141602,directory point,"Bushlark Street, Crestmead",Crestmead,"playground,picnic_area",61.0,8,CRESTMEAD,Local,Recreation,2,existing,Recreation and Open Space,1.0,6420.0
Buxton Park,-27.797779083252,153.113525390625,directory point,"Buxton Avenue, Yarrabilba",Yarrabilba,"dog_off-leash_area,bbq_electric,playground,fitness_equipment,picnic_area",62.0,4,YARRABILBA,District,Recreation,,existing,PDA - Priority Development Area,3.0,206348.0
Byron Park,-27.838533,153.041868,polygon centroid,,,,,9,JIMBOOMBA,Local,Recreation,,existing,,1.0,10000.0
Cadagi Park,-27.686314,153.135468,polygon centroid,,,,,6,LOGANLEA,Local,Recreation,4,existing,Recreation and Open Space,2.0,12383.0
Caloola Park,-27.6295261383057,153.141525268555,directory point,"Caloola Drive, Springwood",Springwood,"playground,picnic_area",63.0,1,SPRINGWOOD,Local,Recreation,4,existing,Recreation and Open Space,1.0,2223.0
Camelot Park,-27.6014842987061,153.115447998047,directory point,"Camelot Street, Underwood",Underwood,"dog_off-leash_area,picnic_area",64.0,3,UNDERWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,18585.0
Carbrook Wetlands Conservation Park,-27.6721076965332,153.270736694336,directory point,Carbrook,Carbrook,,65.0,10,CARBROOK,Landscape Amenit,Natural Areas,0,existing,Multiple Zones,1.0,1845666.0
Carnation Park,-27.6882591247559,153.118133544922,directory point,"Carnation Street, Waterford West",Waterford West,"playground,fitness_equipment,picnic_area",66.0,5,WATERFORD WEST,Local,Recreation,1,existing,Recreation and Open Space,3.0,22259.0
Carol Park,-27.6162548065186,153.127685546875,directory point,"Carol Avenue,Springwood","Carol Avenue,Springwood",picnic_area,67.0,1,SPRINGWOOD,Minor,Recreation,0,existing,Centre,2.0,1763.0
Carrick Park,-27.596321105957,153.119827270508,directory point,"Carrick Street, Rochedale South",Rochedale South,playground,68.0,1,ROCHEDALE SOUTH,Minor,Recreation,4,existing,Recreation and Open Space,1.0,1041.0
Carter Park,-27.7549362182617,153.196136474609,directory point,"77 Bannockburn Road, Bannockburn",Bannockburn,fitness_equipment,69.0,4,BANNOCKBURN,Corridor,Recreation,4,existing,Environmental Management and Conservation,2.0,41123.0
Castle Park,-27.6597671508789,153.043426513672,directory point,"Castle Street, Browns Plains",Browns Plains,"playground,basketball",70.0,7,BROWNS PLAINS,Local,Recreation,4,existing,Centre,1.0,5335.0
Cattle Camp Reserve,-27.823186,152.994694,polygon centroid,,,,,9,RIVERBEND,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,17315.0
Cecil Clark Park,-27.7000045776367,153.208419799805,directory point,"168 Fryar Road, Eagleby",Eagleby,"bbq_electric,playground,basketball,picnic_area",71.0,12,EAGLEBY,Landscape Amenit,Natural Areas,1,existing,Recreation and Open Space,7.0,79582.0
Centenary Park,-27.711428,153.203516,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Community Facilities,1.0,6721.0
Centenary Sports Park,-27.712101,153.203391,polygon centroid,,,,,12,BEENLEIGH,District,Sport,2,existing,Community Facilities,1.0,8483.0
Centre Place,-27.594689,153.115183,polygon centroid,,,,,1,ROCHEDALE SOUTH,Local,Recreation,,existing,CTR – Neighbourhood Centre,1.0,256.0
Cerina Park,-27.8346614837646,153.025726318359,directory point,"1-23 Cerina Circuit, Jimboomba",Jimboomba,picnic_area,72.0,9,JIMBOOMBA,Landscape Amenit,Natural Areas,4,existing,Environmental Management and Conservation,2.0,44318.0
Chadwick Park,-27.802417,153.003307,polygon centroid,,,,,11,SOUTH MACLEAN,Landscape Amenit,Natural Areas,0,existing,Environmental Management and Conservation,2.0,50080.0
Challenge Park,-27.8038997650146,152.93440246582,directory point,"56 - 68 Sheridan Drive, Flagstone",Flagstone,"bbq_electric,playground,picnic_area",73.0,,,,,,,,,
Chambers Flat & Logan Reserve Community Centre,-27.757254,153.092154,polygon centroid,,,,,9,CHAMBERS FLAT,District,Sport,3,existing,Recreation and Open Space,3.0,124129.0
Chambers Flat Logan Reserve,-27.754077911377,153.087615966797,directory point,"Chambers Flat Road, Chambers Flat",Chambers Flat,"playground,basketball,picnic_area",74.0,,,,,,,,,
Chambers Flat Road Park,-27.6765537261963,153.11750793457,directory point,"Mudgee Street, Kingston",Kingston,bbq_electric,75.0,2,KINGSTON,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,7.0,219463.0
Chambers Flat/Logan Reserve Community Park,-27.75408,153.087063,polygon centroid,,,,,8,CHAMBERS FLAT,District,Sport,4,existing,Recreation and Open Space,1.0,61760.0
Chambers Ridge Park,-27.7196102142334,153.086761474609,directory point,"Chambers Ridge Boulevard, Park Ridge",Park Ridge,"bbq_electric,playground,picnic_area",76.0,8,PARK RIDGE,Local,Recreation,,existing,,1.0,4995.0
Chantilly Park,-27.6802864074707,153.204284667969,directory point,"Excalibur Road, Cornubia",Cornubia,"playground,fitness_equipment,basketball,bbq_wood,waterfront,picnic_area",77.0,10,CORNUBIA,Local,Recreation,2,existing,Recreation and Open Space,6.0,75612.0
Chardon Bridge Park,-27.824565,153.178697,polygon centroid,,,,,4,CEDAR CREEK,Corridor,Recreation,0,existing,Recreation and Open Space,2.0,22617.0
Charles Barton Park,-27.5967311859131,153.111953735352,directory point,"Fermont Road, Underwood",Underwood,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,picnic_area",78.0,3,UNDERWOOD,Local,Recreation,1,existing,Recreation and Open Space,1.0,14773.0
Charlton Park,-27.6846561431885,153.049255371094,directory point,"Charlton Place, Regents Park",Regents Park,playground,79.0,8,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,2.0,16921.0
Chatfield Park,-27.7070751190186,153.161743164063,directory point,"20 Lindau Street, Edens Landing",Edens Landing,"playground,skate_facilities,picnic_area",80.0,6,EDENS LANDING,Local,Recreation,3,existing,Recreation and Open Space,5.0,14644.0
Cherokee Park,-27.6833000183105,153.055023193359,directory point,"Nightingale Place, Heritage Park",Heritage Park,playground,81.0,8,HERITAGE PARK,Ecologically Sig,Natural Areas,4,existing,Recreation and Open Space,7.0,44097.0
Chester Park,-27.6852169036865,153.016723632813,directory point,"Chester Place, Boronia Heights",Boronia Heights,playground,82.0,7,BORONIA HEIGHTS,Minor,Recreation,3,existing,Recreation and Open Space,3.0,3749.0
Chris Green Park,-27.7066879272461,153.192764282227,directory point,"33 Boundary Street, Beenleigh",Beenleigh,bmx,83.0,12,BEENLEIGH,Metropolitan,Sport,3,existing,Recreation and Open Space,9.0,219002.0
Cianthus Park,-27.6754589080811,153.036056518555,directory point,"Cianthus Street, Regents Park",Regents Park,playground,84.0,7,REGENTS PARK,Local,Recreation,2,existing,Recreation and Open Space,2.0,28032.0
Civic Centre Park,-27.645282,153.103092,polygon centroid,,,,,2,LOGAN CENTRAL,District,Sport,2,existing,Recreation and Open Space,3.0,56181.0
Clint Park,-27.6968364715576,153.092193603516,directory point,"10-14 Clint Parade, Crestmead",Crestmead,"playground,picnic_area",85.0,5,CRESTMEAD,Local,Recreation,2,existing,Recreation and Open Space,6.0,10323.0
Cochrane's Bridge Park,-27.868845,152.945029,polygon centroid,,,,,9,WOODHILL,Corridor,Recreation,0,existing,,1.0,11304.0
Coffey Park,-27.6851673126221,153.079360961914,directory point,"Coffey Street, Crestmead",Crestmead,"playground,skate_facilities",86.0,8,CRESTMEAD,Local,Recreation,3,existing,Recreation and Open Space,1.0,26033.0
Coleman Park,-27.6311168670654,153.144775390625,directory point,"Coleman Crescent, Springwood",Springwood,"playground,picnic_area",87.0,1,SPRINGWOOD,Local,Recreation,3,existing,Recreation and Open Space,1.0,4443.0
Collie Park,-27.6526641845703,153.19059753418,directory point,"Collie Street, Shailer Park",Shailer Park,"playground,picnic_area",88.0,10,SHAILER PARK,Local,Recreation,3,existing,Multiple Zones,2.0,16955.0
Collin Park,-27.654914855957,153.114044189453,directory point,"26 Collin Court, Kingston",Kingston,"playground,bbq_wood,picnic_area",89.0,2,KINGSTON,Local,Recreation,3,existing,Recreation and Open Space,1.0,15817.0
Colville Park,-27.706262,153.032626,polygon centroid,,,,,11,GREENBANK,Local,Recreation,,existing,Emerging Community,2.0,19183.0
Compton Park,-27.6194324493408,153.096527099609,directory point,"186-216 Compton Road, Woodridge",Woodridge,"playground,bbq_wood",90.0,2,WOODRIDGE,District,Sport,3,existing,Recreation and Open Space,1.0,52415.0
Concorde Park,-27.6845569610596,153.18278503418,directory point,"Concorde Drive, Loganholme",Loganholme,"playground,picnic_area",91.0,10,LOGANHOLME,Minor,Recreation,2,existing,Recreation and Open Space,1.0,1149.0
Concourse Park,-27.6094303131104,153.104583740234,directory point,"2-16 The Concourse, Underwood",Underwood,"ideal_wedding_location,bbq_electric,fitness_equipment,waterfront,picnic_area",92.0,2,UNDERWOOD,Local,Recreation,1,existing,Recreation and Open Space,4.0,25103.0
Conquest Park,-27.803996,152.934456,polygon centroid,,,,,11,FLAGSTONE,Local,Recreation,,existing,Priority Development Area,1.0,0.0
Constellation Park,-27.6838,153.186466,polygon centroid,,,,,10,LOGANHOLME,Local,Recreation,2,existing,Recreation and Open Space,1.0,23644.0
Coral Park,-27.6750431060791,153.134155273438,directory point,"13-15 Coral Street, Loganlea",Loganlea,picnic_area,93.0,6,LOGANLEA,Local,Recreation,4,existing,Recreation and Open Space,3.0,4690.0
Cornubia Adventure Park,-27.6652412414551,153.186767578125,directory point,"6-14 Cornubia Park Drive, Shailer Park",Shailer Park,"bbq_electric,playground,basketball,picnic_area",94.0,10,SHAILER PARK,Local,Recreation,1,existing,Recreation and Open Space,1.0,3961.0
Cornubia Forest Park,-27.651065826416,153.201446533203,directory point,"Parkview Crescent, Cornubia",Cornubia,bmx,95.0,10,CORNUBIA,Ecologically Sig,Natural Areas,1,existing,Environmental Management and Conservation,19.0,1944467.0
Cornubia Park,-27.665088,153.188422,polygon centroid,,,,,10,SHAILER PARK,District,Sport,1,existing,Recreation and Open Space,1.0,70265.0
Coronation Park,-27.6801738739014,153.026809692383,directory point,"Coronation Road,Boronia Heights","Coronation Road,Boronia Heights",playground,96.0,7,BORONIA HEIGHTS,Local,Recreation,3,existing,Recreation and Open Space,1.0,4675.0
Crescent Park,-27.6124267578125,153.107894897461,directory point,"27 Lima Court, Underwood",Underwood,picnic_area,97.0,2,UNDERWOOD,Landscape Amenit,Natural Areas,4,Investigation,Low Density Residential,6.0,34696.0
Crest Park,-27.788892,153.004104,polygon centroid,,,,,9,SOUTH MACLEAN,Local,Recreation,0,existing,Recreation and Open Space,1.0,25996.0
Crestmead Park,-27.6902332305908,153.09407043457,directory point,"Gimlet Street, Crestmead",Crestmead,"dog_off-leash_area,bbq_electric,playground,toilets,wheelchair_toilets,basketball,bmx,bbq_wood,skate_facilities,picnic_area,volleyball",98.0,5,CRESTMEAD,District,Recreation,4,future,Low Density Residential,17.0,343075.0
Cronulla Park,-27.62175,153.118309,polygon centroid,,,,,3,SLACKS CREEK,District,Sport,,existing,Recreation and Open Space,1.0,102185.0
Crossing Park,-27.7159671783447,153.143692016602,directory point,"30-48 Coalstoun Crossing, Waterford",Waterford,"bbq_electric,playground,picnic_area",99.0,4,WATERFORD,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,5.0,60052.0
Crystal Brook Park,-27.7389507293701,152.949325561523,directory point,"Loch Ness Circuit, New Beith",New Beith,picnic_area,100.0,11,NEW BEITH,Local,Recreation,,existing,Rural Residential,1.0,5429.0
