Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
13 Orchid Avenue,4,"$4,219.50",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2213+Orchid+Avenue%22+Logan+QLD+park
Lot 900 Halcyon Way,2,"$3,703.65",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Halcyon+Way%22+Logan+QLD+park
1 McKinnon Drive,4,"$2,963.08",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%221+McKinnon+Drive%22+Logan+QLD+park
17 Peacock Avenue,3,"$2,744.64",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2217+Peacock+Avenue%22+Logan+QLD+park
0 Bryants Road,8,"$2,716.87",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Bryants+Road%22+Logan+QLD+park
Golf Course Drive,7,"$2,625.99",Journal (no supplier),,Loganlea Picnic Grounds,Loganlea Picnic Grounds,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Golf+Course+Drive%22+Logan+QLD+park
Oliver's Sport Complex,5,"$2,614.99","Origin Energy (collective/direct, confirm)",QB09487492,,Olivers Sports Complex,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Oliver%27s+Sport+Complex%22+Logan+QLD+park
17 South Street,3,"$2,550.61",Journal (no supplier),,Jimboomba Park,Jimboomba Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2217+South+Street%22+Logan+QLD+park
Waller Road,6,"$2,514.95",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Waller+Road%22+Logan+QLD+park
Replace Basketball Lighting,1,"$2,490.25","Unidentified (APLEDGER HIB003, ABN 30 306 518 188)",,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Replace+Basketball+Lighting%22+Logan+QLD+park
Dewar Drive,4,"$2,314.03",Journal (no supplier),,Alexander Clark Park,Alexander Clark Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Dewar+Drive%22+Logan+QLD+park
0 Kingston Road,6,"$2,259.78",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Kingston+Road%22+Logan+QLD+park
0 Springwood Road,10,"$2,237.53",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Springwood+Road%22+Logan+QLD+park
Meakin Road,4,"$2,216.81",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Meakin+Road%22+Logan+QLD+park
Lot 3003 Grampians Circuit,5,"$2,203.79",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+3003+Grampians+Circuit%22+Logan+QLD+park
105 Paradise Road,3,"$2,190.10",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22105+Paradise+Road%22+Logan+QLD+park
Lot 900 Loganview Road North,4,"$1,953.03",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Loganview+Road+North%22+Logan+QLD+park
Bbq Shelter 1 Sanctuary Pkwy Waterford Q,63,"$1,931.92",Origin Energy (collective account),31174234730; 31174237164,Sanctuary Parklands,Sanctuary Parklands,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Bbq+Shelter+1+Sanctuary+Pkwy+Waterford+Q%22+Logan+QLD+park
Logan Village Community Centre/Library,4,"$1,862.59",Journal (no supplier),,,Logan Village Community Centre,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Logan+Village+Community+Centre%2FLibrary%22+Logan+QLD+park
Augusta St,3,"$1,859.41",Journal (no supplier),,Pinnington Park,Pinnington Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Augusta+St%22+Logan+QLD+park
Evergreen Ave,3,"$1,847.00",Journal (no supplier),,Evergreen Park,Evergreen Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Evergreen+Ave%22+Logan+QLD+park
Kingston Road,7,"$1,838.08",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Kingston+Road%22+Logan+QLD+park
Evans Road,3,"$1,836.56",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Evans+Road%22+Logan+QLD+park
0 Beenleigh Redland Bay Road,4,"$1,822.02",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Beenleigh+Redland+Bay+Road%22+Logan+QLD+park
Lot 806 Tuscan Circuit,4,"$1,679.26",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+806+Tuscan+Circuit%22+Logan+QLD+park
Jardine Drive,5,"$1,607.54",Journal (no supplier),,Springwood Conservation Park,Springwood Conservation Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Jardine+Drive%22+Logan+QLD+park
Lot 823 Teviot Road,4,"$1,505.19",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+823+Teviot+Road%22+Logan+QLD+park
Playground Area 370 Browns Plains Rd Ber,22,"$1,490.45",Origin Energy (collective account),31200093948,Havenbah Park; Oakdale Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Playground+Area+370+Browns+Plains+Rd+Ber%22+Logan+QLD+park
Tbs 32 Logan St Logan Village QLD 4207,68,"$1,449.68",Origin Energy (collective account),31207423681,Doug Larsen Park; Eagleby Wetlands; Olivers Sports Complex,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Tbs+32+Logan+St+Logan+Village+QLD+4207%22+Logan+QLD+park
Lot 701 Dryander Street,4,"$1,442.38",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+701+Dryander+Street%22+Logan+QLD+park
Chambers Flat Road,5,"$1,434.17",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Chambers+Flat+Road%22+Logan+QLD+park
Council Pump 1 Carl Heck Bvd Windaroo QL,40,"$1,427.03",Origin Energy (collective account),QB083337005,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Council+Pump+1+Carl+Heck+Bvd+Windaroo+QL%22+Logan+QLD+park
Homestead Park 4 Jodie St Shailer Park Q,51,"$1,338.61",Origin Energy (collective account),31206750062,Homestead Park (Shailer Park),Homestead Park (Shailer Park),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Homestead+Park+4+Jodie+St+Shailer+Park+Q%22+Logan+QLD+park
178 Rosia Road,34,"$1,261.11",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22178+Rosia+Road%22+Logan+QLD+park
CAFE 982 UNDERWOOD RD PRIESTDALE QLD 412,36,"$1,214.47",Origin Energy (collective account),31206596489,Belmore Park; Graham Hogg Park; Passerine Park; Underwood Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22CAFE+982+UNDERWOOD+RD+PRIESTDALE+QLD+412%22+Logan+QLD+park
Scheduled inspections on all playground,1,"$1,158.84",Play Force Australia Pty Ltd,,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Scheduled+inspections+on+all+playground%22+Logan+QLD+park
27 Johanna Street,3,"$1,137.79",Journal (no supplier),,Rotary Park (Jimboomba),Rotary Park (Jimboomba),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2227+Johanna+Street%22+Logan+QLD+park
0 Browns Plains Road,2,"$1,132.23",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Browns+Plains+Road%22+Logan+QLD+park
12 Josh Street,5,"$1,128.98",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2212+Josh+Street%22+Logan+QLD+park
PLAYGROUND AREA 370 BROWNS PLAINS RD BER,16,"$1,096.29",Origin Energy (collective account),31200093948,Havenbah Park; Oakdale Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22PLAYGROUND+AREA+370+BROWNS+PLAINS+RD+BER%22+Logan+QLD+park
0 Trulson Drive,1,"$1,068.75",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Trulson+Drive%22+Logan+QLD+park
720 Middle Rd Greenbank QLD 4124,44,"$1,050.24",Origin Energy (collective account),31201588013,Greenbank Recreation Reserve,Greenbank Recreation Reserve,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22720+Middle+Rd+Greenbank+QLD+4124%22+Logan+QLD+park
88 Station Rd Bethania QLD 4205,40,"$1,043.38",Origin Energy (collective account),QB095851175,Essie Worth Park; Noffke Park (Bethania),UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2288+Station+Rd+Bethania+QLD+4205%22+Logan+QLD+park
33 Blackwell Street,17,"$1,042.66",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2233+Blackwell+Street%22+Logan+QLD+park
BBQ AREA 380 PEPPERTREE DR JIMBOOMBA QLD,16,"$1,010.01",Origin Energy (collective account),31202545607,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22BBQ+AREA+380+PEPPERTREE+DR+JIMBOOMBA+QLD%22+Logan+QLD+park
71 Barbaralla Dr Springwood QLD 4127,40,"$1,006.70",Origin Energy (collective account),31174015515,Barbaralla Park,Barbaralla Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2271+Barbaralla+Dr+Springwood+QLD+4127%22+Logan+QLD+park
Bbq Area 380 Peppertree Dr Jimboomba QLD,24,$980.74,Origin Energy (collective account),31202545607,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Bbq+Area+380+Peppertree+Dr+Jimboomba+QLD%22+Logan+QLD+park
85 St Jude Cct Glenlogan QLD 4280,40,$977.19,Origin Energy (collective account),31169793460,Glenlogan Lakes Park,Glenlogan Lakes Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2285+St+Jude+Cct+Glenlogan+QLD+4280%22+Logan+QLD+park
0 Middle Road,3,$972.14,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Middle+Road%22+Logan+QLD+park
18 Highlands Street,3,$971.78,Journal (no supplier),,Daybreak Park,Daybreak Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2218+Highlands+Street%22+Logan+QLD+park
Electric Bbq'S 77 Couldery Ct Cedar Grov,70,$965.30,Origin Energy (collective account),31201031719,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Electric+Bbq%27S+77+Couldery+Ct+Cedar+Grov%22+Logan+QLD+park
Underwood Road,2,$963.90,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Underwood+Road%22+Logan+QLD+park
0 Station Road,2,$963.90,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Station+Road%22+Logan+QLD+park
Loganlea Rd Loganlea QLD 4131,94,$963.48,Origin Energy (collective account),QB087442386,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Loganlea+Rd+Loganlea+QLD+4131%22+Logan+QLD+park
Dog Park Lot 908 Homestead Dr Flagstone,40,$952.35,Origin Energy (collective account),31203724851,Homestead Park (Jimboomba),Homestead Park (Jimboomba),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Dog+Park+Lot+908+Homestead+Dr+Flagstone%22+Logan+QLD+park
8 Ponderosa St Hillcrest QLD 4118,53,$946.58,Origin Energy (collective account),31168811175,Ponderosa Park,Ponderosa Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%228+Ponderosa+St+Hillcrest+QLD+4118%22+Logan+QLD+park
271 Bushman Dr Flagstone QLD 4280,46,$939.85,Origin Energy (collective account),31208360050,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22271+Bushman+Dr+Flagstone+QLD+4280%22+Logan+QLD+park
202 Crowson Lane,4,$931.71,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22202+Crowson+Lane%22+Logan+QLD+park
